description;wnid
digit;n13741022
figure;n13741022
binary digit;n13741512
octal digit;n13741603
decimal digit;n13741698
duodecimal digit;n13741797
hexadecimal digit;n13741903
significant digit;n13742011
significant figure;n13742011
zero;n13742358
0;n13742358
nought;n13742358
cipher;n13742358
cypher;n13742358
one;n13742573
1;n13742573
i;n13742573
ace;n13742573
single;n13742573
unity;n13742573
monad;n13742840
monas;n13742840
singleton;n13742980
mate;n13743100
fellow;n13743100
two;n13743269
2;n13743269
ii;n13743269
deuce;n13743269
craps;n13743460
snake eyes;n13743460
couple;n13743605
pair;n13743605
twosome;n13743605
twain;n13743605
brace;n13743605
span;n13743605
yoke;n13743605
couplet;n13743605
distich;n13743605
duo;n13743605
duet;n13743605
dyad;n13743605
duad;n13743605
doubleton;n13743869
three;n13744044
3;n13744044
iii;n13744044
trio;n13744044
threesome;n13744044
tierce;n13744044
leash;n13744044
troika;n13744044
triad;n13744044
trine;n13744044
trinity;n13744044
ternary;n13744044
ternion;n13744044
triplet;n13744044
tercet;n13744044
terzetto;n13744044
trey;n13744044
deuce-ace;n13744044
four;n13744304
4;n13744304
iv;n13744304
tetrad;n13744304
quatern;n13744304
quaternion;n13744304
quaternary;n13744304
quaternity;n13744304
quartet;n13744304
quadruplet;n13744304
foursome;n13744304
little joe;n13744304
five;n13744521
5;n13744521
v;n13744521
cinque;n13744521
quint;n13744521
quintet;n13744521
fivesome;n13744521
quintuplet;n13744521
pentad;n13744521
fin;n13744521
phoebe;n13744521
little phoebe;n13744521
six;n13744722
6;n13744722
vi;n13744722
sixer;n13744722
sise;n13744722
captain hicks;n13744722
half a dozen;n13744722
sextet;n13744722
sestet;n13744722
sextuplet;n13744722
hexad;n13744722
seven;n13744916
7;n13744916
vii;n13744916
sevener;n13744916
heptad;n13744916
septet;n13744916
septenary;n13744916
eight;n13745086
8;n13745086
viii;n13745086
eighter;n13745086
eighter from decatur;n13745086
octad;n13745086
ogdoad;n13745086
octonary;n13745086
octet;n13745086
nine;n13745270
9;n13745270
ix;n13745270
niner;n13745270
nina from carolina;n13745270
ennead;n13745270
large integer;n13745420
double digit;n13746419
ten;n13746512
10;n13746512
x;n13746512
tenner;n13746512
decade;n13746512
eleven;n13746672
11;n13746672
xi;n13746672
twelve;n13746785
12;n13746785
xii;n13746785
dozen;n13746785
boxcars;n13746946
teens;n13747114
thirteen;n13747199
13;n13747199
xiii;n13747199
baker's dozen;n13747199
long dozen;n13747199
fourteen;n13747348
14;n13747348
xiv;n13747348
fifteen;n13747469
15;n13747469
xv;n13747469
sixteen;n13747606
16;n13747606
xvi;n13747606
seventeen;n13747725
17;n13747725
xvii;n13747725
eighteen;n13747865
18;n13747865
xviii;n13747865
nineteen;n13747989
19;n13747989
xix;n13747989
twenty;n13748128
20;n13748128
xx;n13748128
twenty-one;n13748246
21;n13748246
xxi;n13748246
twenty-two;n13748367
22;n13748367
xxii;n13748367
twenty-three;n13748493
23;n13748493
xxiii;n13748493
twenty-four;n13748622
24;n13748622
xxiv;n13748622
two dozen;n13748622
twenty-five;n13748763
25;n13748763
xxv;n13748763
twenty-six;n13748890
26;n13748890
xxvi;n13748890
twenty-seven;n13749017
27;n13749017
xxvii;n13749017
twenty-eight;n13749146
28;n13749146
xxviii;n13749146
twenty-nine;n13749278
29;n13749278
xxix;n13749278
thirty;n13749407
30;n13749407
xxx;n13749407
forty;n13749527
40;n13749527
xl;n13749527
fifty;n13749644
50;n13749644
l;n13749644
sixty;n13749778
60;n13749778
lx;n13749778
seventy;n13749894
70;n13749894
lxx;n13749894
seventy-eight;n13750033
78;n13750033
lxxviii;n13750033
eighty;n13750164
80;n13750164
lxxx;n13750164
fourscore;n13750164
ninety;n13750297
90;n13750297
xc;n13750297
hundred;n13750415
100;n13750415
c;n13750415
century;n13750415
one c;n13750415
gross;n13750504
144;n13750504
long hundred;n13750574
great hundred;n13750574
120;n13750574
five hundred;n13750712
500;n13750712
d;n13750712
thousand;n13750844
one thousand;n13750844
1000;n13750844
m;n13750844
k;n13750844
chiliad;n13750844
g;n13750844
grand;n13750844
thou;n13750844
yard;n13750844
millenary;n13751036
great gross;n13751158
1728;n13751158
ten thousand;n13751265
10000;n13751265
myriad;n13751265
hundred thousand;n13751404
100000;n13751404
lakh;n13751404
million;n13751533
1000000;n13751533
one thousand thousand;n13751533
meg;n13751533
crore;n13751686
billion;n13751829
one thousand million;n13751829
1000000000;n13751829
milliard;n13752033
billion;n13752172
one million million;n13752172
1000000000000;n13752172
trillion;n13752443
one million million;n13752443
1000000000000;n13752443
trillion;n13752679
one million million million;n13752679
quadrillion;n13752911
quadrillion;n13753067
quintillion;n13753274
sextillion;n13753430
septillion;n13753585
octillion;n13753740
aleph-null;n13753894
aleph-nought;n13753894
aleph-zero;n13753894
pi;n13754008
e;n13754165
addition;n13754293
increase;n13754293
gain;n13754293
accretion;n13754565
bag;n13754778
breakage;n13754948
capacity;n13755053
formatted capacity;n13755342
unformatted capacity;n13755627
catch;n13755822
haul;n13755822
correction;n13755957
fudge factor;n13755957
containerful;n13756125
footstep;n13757249
pace;n13757249
step;n13757249
stride;n13757249
headspace;n13757582
large indefinite quantity;n13757724
large indefinite amount;n13757724
chunk;n13758197
limit;n13758296
limitation;n13758296
limit;n13758556
limit point;n13758556
point of accumulation;n13758556
output;n13758745
yield;n13758745
production;n13758745
cutoff;n13759014
region;n13759146
neighborhood;n13759146
outage;n13759428
picking;n13759558
pick;n13759558
reserve;n13759773
pulmonary reserve;n13759941
run;n13760129
small indefinite quantity;n13760316
small indefinite amount;n13760316
crumb;n13760980
dab;n13761171
splash;n13761171
splatter;n13761171
spot;n13761407
bit;n13761407
hair's-breadth;n13761603
hairsbreadth;n13761603
hair;n13761603
whisker;n13761603
modicum;n13761801
scattering;n13761966
sprinkling;n13761966
shoestring;n13762178
shoe string;n13762178
spray;n13762305
spraying;n13762305
nose;n13762458
step;n13762579
stone's throw;n13762579
little;n13762717
shtik;n13762836
shtick;n13762836
schtik;n13762836
schtick;n13762836
shtikl;n13763058
shtickl;n13763058
schtikl;n13763058
schtickl;n13763058
tad;n13763185
shade;n13763185
minimum;n13763384
lower limit;n13763384
skeleton;n13763626
spillage;n13763806
spoilage;n13763888
tankage;n13763970
ullage;n13764086
top-up;n13764213
worth;n13764342
armful;n13764540
bag;n13764639
bagful;n13764639
barrel;n13764764
barrelful;n13764764
barrow;n13764897
barrowful;n13764897
barnful;n13764998
basin;n13765086
basinful;n13765086
basket;n13765207
basketful;n13765207
bin;n13765306
binful;n13765306
bottle;n13765396
bottleful;n13765396
bowl;n13765531
bowlful;n13765531
box;n13765624
boxful;n13765624
bucket;n13765749
bucketful;n13765749
busload;n13765866
can;n13765990
canful;n13765990
capful;n13766080
carful;n13766166
cartload;n13766252
carton;n13766337
cartonful;n13766337
case;n13766436
caseful;n13766436
cask;n13766547
caskful;n13766547
crate;n13766637
crateful;n13766637
cup;n13766733
cupful;n13766733
dish;n13766896
dishful;n13766896
dustpan;n13767042
dustpanful;n13767042
flask;n13767146
flaskful;n13767146
glass;n13767239
glassful;n13767239
handful;n13767350
fistful;n13767350
hatful;n13767455
headful;n13767545
houseful;n13767691
jar;n13767822
jarful;n13767822
jug;n13767956
jugful;n13767956
keg;n13768064
kegful;n13768064
kettle;n13768154
kettleful;n13768154
lapful;n13768250
mouthful;n13768343
mug;n13768440
mugful;n13768440
pail;n13768537
pailful;n13768537
pipeful;n13768630
pitcher;n13768748
pitcherful;n13768748
plate;n13768850
plateful;n13768850
pocketful;n13768946
pot;n13769033
potful;n13769033
roomful;n13769123
sack;n13769206
sackful;n13769206
scoop;n13769317
scoopful;n13769317
shelfful;n13769428
shoeful;n13769549
skinful;n13769672
shovel;n13769870
shovelful;n13769870
spadeful;n13769870
skepful;n13769994
split;n13770076
spoon;n13770169
spoonful;n13770169
tablespoon;n13770310
tablespoonful;n13770310
dessertspoon;n13770416
dessertspoonful;n13770416
tank;n13770529
tankful;n13770529
teacup;n13770635
teacupful;n13770635
teaspoon;n13770729
teaspoonful;n13770729
thimble;n13770829
thimbleful;n13770829
tub;n13770926
tubful;n13770926
morsel;n13771034
handful;n13771154
smattering;n13771154
couple;n13771290
drop;n13771404
drib;n13771404
driblet;n13771404
droplet;n13771828
eyedrop;n13771929
eye-drop;n13771929
dollop;n13772020
dose;n13772106
dosage;n13772106
load;n13772313
load;n13772468
loading;n13772468
precipitation;n13772653
trainload;n13772876
dreg;n13772971
jack;n13773047
doodly-squat;n13773047
diddly-squat;n13773047
diddlysquat;n13773047
diddly-shit;n13773047
diddlyshit;n13773047
diddly;n13773047
diddley;n13773047
squat;n13773047
shit;n13773047
nip;n13773250
shot;n13773250
trace;n13773361
hint;n13773361
suggestion;n13773361
spark;n13773539
shred;n13773725
scintilla;n13773725
whit;n13773725
iota;n13773725
tittle;n13773725
smidgen;n13773725
smidgeon;n13773725
smidgin;n13773725
smidge;n13773725
tot;n13773906
snuff;n13774010
touch;n13774115
hint;n13774115
tinge;n13774115
mite;n13774115
pinch;n13774115
jot;n13774115
speck;n13774115
soupcon;n13774115
barrels;n13774311
batch;n13774404
deal;n13774404
flock;n13774404
good deal;n13774404
great deal;n13774404
hatful;n13774404
heap;n13774404
lot;n13774404
mass;n13774404
mess;n13774404
mickle;n13774404
mint;n13774404
mountain;n13774404
muckle;n13774404
passel;n13774404
peck;n13774404
pile;n13774404
plenty;n13774404
pot;n13774404
quite a little;n13774404
raft;n13774404
sight;n13774404
slew;n13774404
spate;n13774404
stack;n13774404
tidy sum;n13774404
wad;n13774404
battalion;n13775093
large number;n13775093
multitude;n13775093
plurality;n13775093
pack;n13775093
billyo;n13775319
billyoh;n13775319
billy-ho;n13775319
all get out;n13775319
boatload;n13775523
shipload;n13775523
carload;n13775523
flood;n13775706
inundation;n13775706
deluge;n13775706
torrent;n13775706
haymow;n13775939
infinitude;n13776060
maximum;n13776137
upper limit;n13776137
mile;n13776342
million;n13776432
billion;n13776432
trillion;n13776432
zillion;n13776432
jillion;n13776432
gazillion;n13776432
much;n13776621
myriad;n13776726
reservoir;n13776854
ocean;n13776971
sea;n13776971
ream;n13777098
small fortune;n13777211
supply;n13777344
tons;n13777509
dozens;n13777509
heaps;n13777509
lots;n13777509
piles;n13777509
scores;n13777509
stacks;n13777509
loads;n13777509
rafts;n13777509
slews;n13777509
wads;n13777509
oodles;n13777509
gobs;n13777509
scads;n13777509
lashings;n13777509
room;n13777764
way;n13777764
elbow room;n13777764
breathing room;n13778089
breathing space;n13778089
headroom;n13778261
headway;n13778261
clearance;n13778261
houseroom;n13778400
living space;n13778530
lebensraum;n13778530
parking;n13778671
sea room;n13778827
swath;n13778907
volume;n13779032
volume;n13779244
capacity;n13779374
content;n13779374
vital capacity;n13779570
population;n13779804
proof;n13780180
stp;n13780339
s.t.p.;n13780339
relations;n13780449
dealings;n13780449
causality;n13780606
relationship;n13780719
human relationship;n13780719
function;n13781164
partnership;n13781348
personal relation;n13781670
personal relationship;n13781670
bonding;n13781820
obligation;n13782033
indebtedness;n13782033
female bonding;n13782208
male bonding;n13782329
maternal-infant bonding;n13782533
association;n13782769
logical relation;n13783038
contradictory;n13783259
contrary;n13783421
mathematical relation;n13783581
function;n13783816
mathematical function;n13783816
single-valued function;n13783816
map;n13783816
mapping;n13783816
expansion;n13784366
inverse function;n13784537
kronecker delta;n13784763
metric function;n13784906
metric;n13784906
transformation;n13785136
reflection;n13785404
rotation;n13785557
translation;n13785736
affine transformation;n13785965
isometry;n13786187
operator;n13786413
linear operator;n13786595
identity;n13786748
identity element;n13786748
identity operator;n13786748
trigonometric function;n13786960
circular function;n13786960
sine;n13787379
sin;n13787379
arc sine;n13787551
arcsine;n13787551
arcsin;n13787551
inverse sine;n13787551
cosine;n13787723
cos;n13787723
arc cosine;n13787853
arccosine;n13787853
arccos;n13787853
inverse cosine;n13787853
tangent;n13788035
tan;n13788035
arc tangent;n13788182
arctangent;n13788182
arctan;n13788182
inverse tangent;n13788182
cotangent;n13788369
cotan;n13788369
arc cotangent;n13788502
arccotangent;n13788502
inverse cotangent;n13788502
secant;n13788690
sec;n13788690
arc secant;n13788820
arcsecant;n13788820
arcsec;n13788820
inverse secant;n13788820
cosecant;n13789002
cosec;n13789002
arc cosecant;n13789136
arccosecant;n13789136
inverse cosecant;n13789136
threshold function;n13789281
exponential;n13789462
exponential function;n13789462
exponential equation;n13789627
exponential curve;n13789751
exponential expression;n13789849
exponential series;n13790004
parity;n13790133
evenness;n13790492
oddness;n13790592
foundation;n13790712
footing;n13790912
basis;n13790912
ground;n13790912
common ground;n13791122
grass roots;n13791250
connection;n13791389
connexion;n13791389
connectedness;n13791389
series;n13791910
alliance;n13792183
bond;n13792183
silver cord;n13792468
linkage;n13792579
link;n13792692
nexus;n13792692
communication;n13792842
concatenation;n13793127
bridge;n13793330
involvement;n13793504
implication;n13793776
inclusion;n13794034
comprehension;n13794034
unconnectedness;n13794226
relevance;n13794417
relevancy;n13794417
materiality;n13794658
cogency;n13794793
point;n13794885
germaneness;n13795042
applicability;n13795180
pertinence;n13795180
pertinency;n13795180
relatedness;n13795489
bearing;n13795695
irrelevance;n13795834
irrelevancy;n13795834
inapplicability;n13796053
immateriality;n13796216
unrelatedness;n13796403
extraneousness;n13796585
grammatical relation;n13796779
linguistic relation;n13797142
agreement;n13797313
concord;n13797313
number agreement;n13797561
person agreement;n13797747
case agreement;n13797856
gender agreement;n13797985
transitivity;n13798118
transitiveness;n13798118
intransitivity;n13798301
intransitiveness;n13798301
transitivity;n13798491
reflexivity;n13798814
reflexiveness;n13798814
coreference;n13799063
reflexivity;n13799245
reflexiveness;n13799245
conjunction;n13799392
coordinating conjunction;n13799655
subordinating conjunction;n13799796
copulative conjunction;n13799967
disjunctive conjunction;n13800115
adversative conjunction;n13800267
complementation;n13800418
coordination;n13800539
subordination;n13800675
modification;n13800801
qualifying;n13800801
limiting;n13800801
restrictiveness;n13801040
apposition;n13801217
mood;n13801424
mode;n13801424
modality;n13801424
indicative mood;n13801700
indicative;n13801700
declarative mood;n13801700
declarative;n13801700
common mood;n13801700
fact mood;n13801700
subjunctive mood;n13801937
subjunctive;n13801937
optative mood;n13802098
optative;n13802098
imperative mood;n13802306
imperative;n13802306
jussive mood;n13802306
imperative form;n13802306
interrogative mood;n13802485
interrogative;n13802485
modality;n13802634
mode;n13802634
anaphoric relation;n13802805
voice;n13802920
active voice;n13803158
active;n13803158
passive voice;n13803431
passive;n13803431
inflection;n13803782
inflexion;n13803782
conjugation;n13804085
declension;n13804203
paradigm;n13804375
pluralization;n13804507
pluralisation;n13804507
aspect;n13804669
perfective;n13804889
perfective aspect;n13804889
imperfective;n13805020
imperfective aspect;n13805020
durative;n13805179
durative aspect;n13805179
progressive aspect;n13805336
inchoative;n13805456
inchoative aspect;n13805456
iterative;n13805594
iterative aspect;n13805594
progressive;n13805734
progressive tense;n13805734
imperfect;n13805734
imperfect tense;n13805734
continuous tense;n13805734
present progressive;n13805974
present progressive tense;n13805974
perfective;n13806140
perfective tense;n13806140
perfect;n13806140
perfect tense;n13806140
present perfect;n13806404
present perfect tense;n13806404
preterit;n13806614
preterite;n13806614
past perfect;n13806735
past perfect tense;n13806735
pluperfect;n13806735
pluperfect tense;n13806735
past progressive;n13806964
past progressive tense;n13806964
future perfect;n13807178
future perfect tense;n13807178
future progressive;n13807403
future progressive tense;n13807403
semantic relation;n13807636
hyponymy;n13807853
subordination;n13807853
hypernymy;n13808004
superordination;n13808004
synonymy;n13808161
synonymity;n13808161
synonymousness;n13808161
antonymy;n13808405
holonymy;n13808566
whole to part relation;n13808566
meronymy;n13808708
part to whole relation;n13808708
troponymy;n13808868
homonymy;n13808981
part;n13809207
portion;n13809207
component part;n13809207
component;n13809207
constituent;n13809207
basis;n13809769
base;n13809769
detail;n13809920
particular;n13809920
item;n13809920
highlight;n13810141
high spot;n13810141
unit;n13810323
member;n13810615
remainder;n13810818
balance;n13810818
residual;n13810818
residue;n13810818
residuum;n13810818
rest;n13810818
leftover;n13811184
remnant;n13811184
subpart;n13811340
affinity;n13811410
kinship;n13811410
rapport;n13811740
resonance;n13811740
sympathy;n13811900
mutual understanding;n13812173
mutual affection;n13812173
affinity;n13812296
phylogenetic relation;n13812296
kinship;n13812607
family relationship;n13812607
relationship;n13812607
descent;n13813042
line of descent;n13813042
lineage;n13813042
filiation;n13813042
affinity;n13813283
steprelationship;n13813483
consanguinity;n13813591
blood kinship;n13813591
cognation;n13813591
parentage;n13813765
birth;n13813765
fatherhood;n13813898
paternity;n13813898
motherhood;n13814041
maternity;n13814041
sisterhood;n13814184
sistership;n13814184
brotherhood;n13814336
bilateral descent;n13814456
unilateral descent;n13814601
matrilineage;n13814755
enation;n13814755
cognation;n13814755
patrilineage;n13814898
agnation;n13814898
marital relationship;n13815030
marital bed;n13815030
magnitude relation;n13815152
quantitative relation;n13815152
scale;n13815342
proportion;n13815449
ratio;n13815449
proportion;n13815742
case-fatality proportion;n13816071
case-to-infection proportion;n13816313
case-to-infection ratio;n13816313
content;n13816521
rate;n13816649
scale;n13816862
golden section;n13817066
golden mean;n13817066
commensurateness;n13817279
correspondence;n13817279
proportionateness;n13817279
percentage;n13817526
percent;n13817526
per centum;n13817526
pct;n13817526
absentee rate;n13817761
batting average;n13817872
hitting average;n13817872
batting average;n13818143
fielding average;n13818354
occupancy rate;n13818551
hospital occupancy;n13818736
hotel occupancy;n13818829
vacancy rate;n13818916
unemployment rate;n13819074
ratio;n13819207
abundance;n13820000
abundance;n13820239
albedo;n13820432
reflective power;n13820432
aspect ratio;n13820544
average;n13820655
cephalic index;n13820826
breadth index;n13820826
cranial index;n13820826
efficiency;n13820993
figure of merit;n13821118
facial index;n13821272
focal ratio;n13821408
f number;n13821408
stop number;n13821408
speed;n13821408
frequency;n13821570
relative frequency;n13821570
hematocrit;n13821766
haematocrit;n13821766
packed cell volume;n13821766
intelligence quotient;n13821977
iq;n13821977
i.q.;n13821977
adult intelligence;n13822249
borderline intelligence;n13822364
load factor;n13822569
loss ratio;n13822735
mach number;n13822876
magnification;n13822995
mechanical advantage;n13823150
mileage;n13823287
fuel consumption rate;n13823287
gasoline mileage;n13823287
gas mileage;n13823287
odds;n13823483
betting odds;n13823483
order of magnitude;n13823651
magnitude;n13823651
output-to-input ratio;n13823968
prevalence;n13824114
price-to-earnings ratio;n13824340
p/e ratio;n13824340
productivity;n13824500
proportionality;n13824675
quotient;n13824815
refractive index;n13824929
index of refraction;n13824929
relative humidity;n13825080
respiratory quotient;n13825292
safety factor;n13825490
factor of safety;n13825490
signal-to-noise ratio;n13825664
signal-to-noise;n13825664
signal/noise ratio;n13825664
signal/noise;n13825664
s/n;n13825664
stoichiometry;n13825840
time constant;n13826084
employee turnover;n13826221
turnover rate;n13826221
turnover;n13826221
loading;n13826426
power loading;n13826614
span loading;n13826732
wing loading;n13826845
incidence;n13826959
relative incidence;n13826959
morbidity;n13827103
control;n13827205
direction;n13827426
frontage;n13827943
orientation;n13828075
attitude;n13828343
trim;n13828520
horizontal;n13828681
vertical;n13828795
opposition;n13828905
orthogonality;n13829047
perpendicularity;n13829047
orthogonal opposition;n13829047
antipodal;n13829243
antipodal opposition;n13829243
diametrical opposition;n13829243
enantiomorphism;n13829408
mirror-image relation;n13829408
windward;n13829586
to windward;n13829720
windward side;n13829720
weatherboard;n13829720
weather side;n13829720
leeward;n13829848
to leeward;n13829980
leeward side;n13829980
seaward;n13830084
quarter;n13830166
compass point;n13830305
point;n13830305
cardinal compass point;n13831000
north;n13831176
due north;n13831176
northward;n13831176
n;n13831176
north by east;n13831310
nbe;n13831310
north;n13831441
magnetic north;n13831441
compass north;n13831441
north northeast;n13831572
nor'-nor'-east;n13831572
nne;n13831572
northeast by north;n13831717
nebn;n13831717
northeast;n13831843
nor'-east;n13831843
northeastward;n13831843
ne;n13831843
northeast by east;n13831994
nebe;n13831994
east northeast;n13832118
ene;n13832118
east by north;n13832236
ebn;n13832236
east;n13832355
due east;n13832355
eastward;n13832355
e;n13832355
east by south;n13832480
ebs;n13832480
east southeast;n13832599
ese;n13832599
southeast by east;n13832717
sebe;n13832717
southeast;n13832841
sou'-east;n13832841
southeastward;n13832841
se;n13832841
southeast by south;n13832993
sebs;n13832993
south southeast;n13833119
sou'-sou'-east;n13833119
sse;n13833119
south by east;n13833256
sbe;n13833256
south;n13833375
due south;n13833375
southward;n13833375
s;n13833375
south by west;n13833504
sbw;n13833504
south southwest;n13833623
sou'-sou'-west;n13833623
ssw;n13833623
southwest by south;n13833760
swbs;n13833760
southwest;n13833886
sou'-west;n13833886
southwestward;n13833886
sw;n13833886
southwest by west;n13834038
swbw;n13834038
west southwest;n13834162
wsw;n13834162
west by south;n13834280
wbs;n13834280
west;n13834399
due west;n13834399
westward;n13834399
w;n13834399
west by north;n13834524
wbn;n13834524
west northwest;n13834643
wnw;n13834643
northwest by west;n13834761
nwbw;n13834761
northwest;n13834885
nor'-west;n13834885
northwestward;n13834885
nw;n13834885
northwest by north;n13835037
nwbn;n13835037
north northwest;n13835163
nor'-nor'-west;n13835163
nnw;n13835163
north by west;n13835308
nbw;n13835308
north;n13835427
northeast;n13835546
east;n13835664
southeast;n13835781
south;n13835899
southwest;n13836018
west;n13836136
northwest;n13836253
angular position;n13836371
elevation;n13836550
el;n13836550
altitude;n13836550
alt;n13836550
depression;n13836715
business relation;n13836841
competition;n13837009
price war;n13837200
price competition;n13837200
clientage;n13837351
professional relation;n13837439
medical relation;n13837667
doctor-patient relation;n13837840
nurse-patient relation;n13838025
legal relation;n13838205
fiduciary relation;n13838386
bank-depositor relation;n13838766
confidential adviser-advisee relation;n13838930
conservator-ward relation;n13839120
director-stockholder relation;n13839287
executor-heir relation;n13839468
lawyer-client relation;n13839662
attorney-client relation;n13839662
partner relation;n13839888
receiver-creditor relation;n13840039
trustee-beneficiary relation;n13840231
academic relation;n13840404
teacher-student relation;n13840553
politics;n13840719
political relation;n13840719
chemistry;n13840958
interpersonal chemistry;n13840958
alchemy;n13840958
reciprocality;n13841213
reciprocity;n13841213
complementarity;n13841467
correlation;n13841651
correlativity;n13841651
mutuality;n13841863
interdependence;n13841863
interdependency;n13841863
commensalism;n13842241
parasitism;n13842415
symbiosis;n13842622
mutualism;n13842622
trophobiosis;n13842841
additive inverse;n13843001
multiplicative inverse;n13843173
reciprocal;n13843173
mutuality;n13843401
mutualness;n13843401
reciprocal;n13843601
sharing;n13843786
sharing;n13843920
time sharing;n13844057
interrelation;n13844212
interrelationship;n13844212
interrelatedness;n13844212
psychodynamics;n13844518
temporal relation;n13844690
antecedent;n13844923
forerunner;n13844923
chronology;n13845114
synchronism;n13845239
synchrony;n13845239
synchronicity;n13845239
synchroneity;n13845239
synchronization;n13845239
synchronisation;n13845239
synchronizing;n13845239
asynchronism;n13845838
asynchrony;n13845838
desynchronization;n13845838
desynchronisation;n13845838
desynchronizing;n13845838
first;n13846199
number one;n13846199
former;n13846356
second;n13846546
latter;n13846708
third;n13846900
fourth;n13847124
fifth;n13847240
sixth;n13847402
seventh;n13847498
eighth;n13847616
ninth;n13847715
tenth;n13847858
eleventh;n13847954
twelfth;n13848052
thirteenth;n13848149
fourteenth;n13848249
fifteenth;n13848349
sixteenth;n13848466
seventeenth;n13848565
eighteenth;n13848684
nineteenth;n13848784
twentieth;n13848884
thirtieth;n13848983
fortieth;n13849082
fiftieth;n13849180
sixtieth;n13849296
seventieth;n13849394
eightieth;n13849512
ninetieth;n13849611
hundredth;n13849710
thousandth;n13849810
millionth;n13849913
billionth;n13850019
last;n13850148
scale;n13850304
scale of measurement;n13850304
graduated table;n13850304
ordered series;n13850304
beaufort scale;n13850674
wind scale;n13850674
index;n13851067
logarithmic scale;n13851245
mercalli scale;n13851426
mohs scale;n13851677
richter scale;n13851865
moment magnitude scale;n13852083
temperature scale;n13852395
celsius scale;n13852600
international scale;n13852600
centigrade scale;n13852600
fahrenheit scale;n13852820
kelvin scale;n13853002
absolute scale;n13853002
rankine scale;n13853198
reaumur scale;n13853407
wage scale;n13853546
wage schedule;n13853546
sliding scale;n13853680
comparison;n13853808
imaginative comparison;n13853947
gauge;n13854101
standard of measurement;n13854101
baseline;n13854318
norm;n13854488
opposition;n13854649
oppositeness;n13854649
antipode;n13855100
antithesis;n13855230
conflict;n13855377
contrast;n13855627
direct contrast;n13855627
flip side;n13855828
mutual opposition;n13856110
polarity;n13856110
gradable opposition;n13856320
polar opposition;n13856449
polarity;n13856574
sign;n13856574
positivity;n13856857
positiveness;n13856857
negativity;n13857008
negativeness;n13857008
ungradable opposition;n13857159
complementarity;n13857314
contradictoriness;n13857486
contradiction;n13857676
dialectic;n13857804
incompatibility;n13858045
mutual exclusiveness;n13858045
inconsistency;n13858045
repugnance;n13858045
contrary;n13858270
contrariety;n13858392
tertium quid;n13858481
reverse;n13858604
contrary;n13858604
opposite;n13858604
inverse;n13858833
opposite;n13858833
change;n13859043
difference;n13859307
gradient;n13859512
concentration gradient;n13859692
gravity gradient;n13859925
temperature gradient;n13860145
implication;n13860281
logical implication;n13860281
conditional relation;n13860281
antagonism;n13860548
solid;n13860793
plane;n13861050
sheet;n13861050
cartesian plane;n13861449
facet plane;n13861580
midplane;n13861686
midline;n13861686
orbital plane;n13861806
picture plane;n13861934
tangent plane;n13862144
natural shape;n13862282
leaf shape;n13862407
leaf form;n13862407
equilateral;n13862552
flare;n13862644
flair;n13862644
figure;n13862780
pencil;n13863020
plane figure;n13863186
two-dimensional figure;n13863186
solid figure;n13863473
three-dimensional figure;n13863473
subfigure;n13863602
line;n13863771
bulb;n13864035
convex shape;n13864153
convexity;n13864153
camber;n13864423
entasis;n13864542
angular shape;n13864763
angularity;n13864763
concave shape;n13864965
concavity;n13864965
incurvation;n13864965
incurvature;n13864965
cylinder;n13865298
round shape;n13865483
conglomeration;n13865786
conglobation;n13865786
heart;n13865904
polygon;n13866144
polygonal shape;n13866144
isogon;n13866515
convex polygon;n13866626
concave polygon;n13866827
reentrant polygon;n13867005
reentering polygon;n13867005
regular polygon;n13867133
distorted shape;n13867276
distortion;n13867276
amorphous shape;n13867492
curve;n13867641
curved shape;n13867641
closed curve;n13868248
simple closed curve;n13868371
jordan curve;n13868371
s-shape;n13868515
catenary;n13868607
cupid's bow;n13868813
wave;n13868944
undulation;n13868944
extrados;n13869045
gooseneck;n13869129
intrados;n13869243
bend;n13869327
crook;n13869327
twist;n13869327
turn;n13869327
hook;n13869547
crotchet;n13869547
uncus;n13869676
envelope;n13869788
bight;n13869896
straight line;n13869991
geodesic;n13870414
geodesic line;n13870414
perpendicular;n13870680
connection;n13870805
connexion;n13870805
link;n13870805
asymptote;n13870935
tangent;n13871134
secant;n13871338
perimeter;n13871452
radius;n13871538
diameter;n13871717
centerline;n13871967
center line;n13871967
dome;n13872072
pit;n13872211
fossa;n13872211
recess;n13872421
recession;n13872421
niche;n13872421
corner;n13872421
cone;n13872592
conoid;n13872592
cone shape;n13872592
funnel;n13872822
funnel shape;n13872822
conic section;n13872975
conic;n13872975
intersection;n13873213
oblong;n13873361
circle;n13873502
circlet;n13873849
circle;n13873917
equator;n13874073
semicircle;n13874251
hemicycle;n13874251
arc;n13874384
scallop;n13874558
crenation;n13874558
crenature;n13874558
crenel;n13874558
crenelle;n13874558
chord;n13874927
sector;n13875027
disk;n13875185
disc;n13875185
saucer;n13875185
ring;n13875392
halo;n13875392
annulus;n13875392
doughnut;n13875392
anchor ring;n13875392
loop;n13875571
bight;n13875884
coil;n13875970
whorl;n13875970
roll;n13875970
curl;n13875970
curlicue;n13875970
ringlet;n13875970
gyre;n13875970
scroll;n13875970
spiral;n13876371
helix;n13876561
spiral;n13876561
double helix;n13876753
perversion;n13876921
eccentricity;n13877129
element;n13877408
element of a cone;n13877547
