description;wnid
retaking;n00096969
recapture;n00097122
invocation;n00097244
instrumentation;n00097348
performance;n00097504
execution;n00097504
carrying out;n00097504
carrying into action;n00097504
specific performance;n00097923
linguistic performance;n00098051
mechanism;n00098385
mechanics;n00098385
service;n00098625
curb service;n00098822
self-service;n00098939
valet parking;n00099061
dramatic production;n00099267
dramatic performance;n00099267
encore;n00099439
extemporization;n00099588
extemporisation;n00099588
improvisation;n00099588
juggle;n00099799
juggling;n00099799
magic trick;n00099951
conjuring trick;n00099951
trick;n00099951
magic;n00099951
legerdemain;n00099951
conjuration;n00099951
thaumaturgy;n00099951
illusion;n00099951
deception;n00099951
musical performance;n00100253
one-night stand;n00100437
rendition;n00100543
rendering;n00100543
interpretation;n00100543
reinterpretation;n00100889
spin;n00101003
playing;n00101191
bowing;n00101410
spiccato;n00101570
spiccato bowing;n00101570
piping;n00101708
stopping;n00101809
double stopping;n00102039
transposition;n00102162
jam session;n00102374
automation;n00102457
mechanization;n00102457
mechanisation;n00102457
computerization;n00102779
cybernation;n00102779
motorization;n00102927
motorisation;n00102927
launching;n00103140
launch;n00103140
launching;n00103291
rocket firing;n00103419
rocket launching;n00103419
blastoff;n00103590
shot;n00103590
moon shot;n00103737
drive;n00103834
thrust;n00103834
driving force;n00103834
firewall;n00104088
impulse;n00104249
impulsion;n00104249
impetus;n00104249
roll;n00104409
bowl;n00104409
throw;n00104539
bowling;n00104976
fling;n00105164
heave;n00105271
heaving;n00105271
hurl;n00105479
cast;n00105479
leaner;n00105624
pass;n00105820
toss;n00105820
flip;n00105820
pitch;n00106104
pitch;n00106272
delivery;n00106272
ringer;n00106726
shy;n00106888
slinging;n00107016
throw-in;n00107137
balk;n00107279
ball;n00107400
beanball;n00107551
beaner;n00107551
change-up;n00107684
change-of-pace;n00107684
change-of-pace ball;n00107684
off-speed pitch;n00107684
curve;n00107875
curve ball;n00107875
breaking ball;n00107875
bender;n00107875
duster;n00108081
fastball;n00108181
heater;n00108181
smoke;n00108181
hummer;n00108181
bullet;n00108181
knuckleball;n00108427
knuckler;n00108427
overhand pitch;n00108545
passed ball;n00108665
screwball;n00108818
sinker;n00108965
slider;n00109081
spitball;n00109227
spitter;n00109227
strike;n00109414
submarine ball;n00109771
submarine pitch;n00109771
wild pitch;n00109892
basketball shot;n00110057
bank shot;n00110415
dunk;n00110554
dunk shot;n00110554
stuff shot;n00110554
slam dunk;n00110745
finger-roll;n00110834
foul shot;n00110964
free throw;n00110964
penalty free throw;n00110964
charity toss;n00110964
charity throw;n00110964
charity shot;n00110964
one-and-one;n00111222
hook shot;n00111358
hook;n00111358
jumper;n00111503
jump shot;n00111503
lay-up;n00111660
layup;n00111660
pivot shot;n00111839
set shot;n00111962
scoop shot;n00112072
tip in;n00112185
push;n00112312
pushing;n00112312
depression;n00112674
click;n00112828
mouse click;n00112828
nudge;n00112997
jog;n00112997
press;n00113113
pressure;n00113113
pressing;n00113113
impression;n00113532
shove;n00113726
bundling;n00113954
jostle;n00114095
jostling;n00114095
elbowing;n00114298
pull;n00114431
pulling;n00114431
drag;n00114871
draw;n00115036
haul;n00115036
haulage;n00115036
tow;n00115292
towage;n00115292
tug;n00115500
jerk;n00115500
draft;n00115667
draught;n00115667
drawing;n00115667
extirpation;n00115803
excision;n00115803
deracination;n00115803
pluck;n00116008
traction;n00116122
lift;n00116376
raise;n00116376
heave;n00116376
expulsion;n00116687
projection;n00116687
ejection;n00116687
forcing out;n00116687
defenestration;n00116989
accommodation reflex;n00117124
babinski;n00117267
babinski reflex;n00117267
babinski sign;n00117267
belch;n00117578
belching;n00117578
burp;n00117578
burping;n00117578
eructation;n00117578
belching;n00117810
blink;n00117959
eye blink;n00117959
blinking;n00117959
wink;n00117959
winking;n00117959
nictitation;n00117959
nictation;n00117959
blush;n00118268
flush;n00118268
coughing up;n00118445
spit;n00118552
spitting;n00118552
expectoration;n00118552
vomit;n00118733
vomiting;n00118733
emesis;n00118733
regurgitation;n00118733
disgorgement;n00118733
puking;n00118733
rumination;n00119079
hematemesis;n00119210
haematemesis;n00119210
hyperemesis;n00119297
hyperemesis gravidarum;n00119402
jump;n00119568
jumping;n00119568
header;n00119893
hop;n00120010
leap;n00120202
leaping;n00120202
spring;n00120202
saltation;n00120202
bound;n00120202
bounce;n00120202
vault;n00120515
hurdle;n00120515
jumping up and down;n00120647
lob;n00120804
centering;n00120943
snap;n00120943
sending;n00121166
transmission;n00121366
transmittal;n00121366
transmitting;n00121366
forwarding;n00121645
referral;n00121904
remission;n00122106
remitment;n00122106
remit;n00122106
mailing;n00122338
posting;n00122338
wheeling;n00122530
rolling;n00122530
shooting;n00122661
shot;n00122661
shoot;n00122954
countershot;n00123143
discharge;n00123234
firing;n00123234
firing off;n00123234
gun;n00123430
fire control;n00123652
gunfire;n00123783
gunshot;n00123783
enfilade;n00124008
enfilade fire;n00124008
snipe;n00124151
headshot;n00124256
skeet;n00124342
skeet shooting;n00124342
trapshooting;n00124342
shellfire;n00124536
gunfight;n00124617
gunplay;n00124617
shootout;n00124617
potshot;n00124766
contact;n00124880
physical contact;n00124880
rub;n00125126
wipe;n00125126
scuff;n00125315
tap;n00125436
pat;n00125436
dab;n00125436
hit;n00125629
hitting;n00125629
striking;n00125629
contusion;n00126100
crash;n00126236
smash;n00126236
impingement;n00126447
impaction;n00126447
batting;n00126584
fielding;n00126721
catching;n00126886
golfing;n00127021
pitching;n00127151
base on balls;n00127286
walk;n00127286
pass;n00127286
best;n00127531
worst;n00127672
fair ball;n00127866
foul ball;n00128091
snick;n00128324
bunt;n00128477
fly;n00128638
fly ball;n00128638
blast;n00128867
pop fly;n00128976
pop-fly;n00128976
pop-up;n00128976
grounder;n00129089
ground ball;n00129089
groundball;n00129089
hopper;n00129089
chop;n00129317
chopper;n00129317
roller;n00129435
out;n00129527
force out;n00129743
force-out;n00129743
force play;n00129743
force;n00129743
putout;n00130093
strikeout;n00130347
whiff;n00130512
fielder's choice;n00130673
sacrifice;n00130846
sacrifice fly;n00130987
base hit;n00131090
safety;n00131090
daisy cutter;n00131347
header;n00131485
liner;n00131608
line drive;n00131608
scorcher;n00131791
screamer;n00131791
line-drive single;n00131877
line single;n00131877
line-drive double;n00131991
line double;n00131991
line-drive triple;n00132105
line triple;n00132105
plunk;n00132219
plunker;n00132219
homer;n00132355
home run;n00132355
solo homer;n00132497
solo blast;n00132497
single;n00132601
bingle;n00132601
double;n00132756
two-base hit;n00132756
two-bagger;n00132756
two-baser;n00132756
triple;n00132982
three-base hit;n00132982
three-bagger;n00132982
backhander;n00133160
clip;n00133234
knock;n00133338
belt;n00133338
rap;n00133338
whack;n00133338
whang;n00133338
thwack;n00133567
smack;n00133668
smacking;n00133668
slap;n00133668
smacker;n00133875
knockdown;n00133981
knockout;n00134099
ko;n00134099
kayo;n00134099
technical knockout;n00134246
tko;n00134246
swat;n00134391
spank;n00134472
whip;n00134574
lash;n00134574
whiplash;n00134574
punch;n00134780
clout;n00134780
poke;n00134780
lick;n00134780
biff;n00134780
slug;n00134780
box;n00135148
dig;n00135311
jab;n00135311
counterpunch;n00135504
parry;n00135504
counter;n00135504
haymaker;n00135637
knockout punch;n00135637
ko punch;n00135637
sunday punch;n00135637
hook;n00135799
jab;n00135952
rabbit punch;n00136048
sucker punch;n00136152
roundhouse;n00136230
kick;n00136329
boot;n00136329
kicking;n00136329
goal-kick;n00136691
goal-kick;n00136876
punt;n00136984
punting;n00136984
place kick;n00137279
place-kicking;n00137279
free kick;n00137534
corner kick;n00137709
dropkick;n00137877
kiss;n00138078
kiss;n00138221
buss;n00138221
osculation;n00138221
laying on;n00138441
smack;n00138599
smooch;n00138599
smacker;n00138734
soul kiss;n00138799
deep kiss;n00138799
french kiss;n00138799
catch;n00138956
grab;n00138956
snatch;n00138956
snap;n00138956
fair catch;n00139544
interception;n00139758
reception;n00139919
rebound;n00140112
shoestring catch;n00140264
mesh;n00140393
meshing;n00140393
interlock;n00140393
interlocking;n00140393
handling;n00140652
manipulation;n00140652
fingering;n00140900
grope;n00141027
audit;n00141176
autopsy;n00141396
necropsy;n00141396
postmortem;n00141396
post-mortem;n00141396
pm;n00141396
postmortem examination;n00141396
post-mortem examination;n00141396
check-in;n00141669
check;n00141806
checkout;n00141806
check-out procedure;n00141806
spot check;n00142140
checkup;n00142361
medical checkup;n00142361
medical examination;n00142361
medical exam;n00142361
medical;n00142361
health check;n00142361
comparison;n00142665
comparing;n00142665
fine-tooth comb;n00143057
fine-toothed comb;n00143057
follow-up;n00143251
followup;n00143251
reexamination;n00143251
review;n00143251
going-over;n00143536
once-over;n00143626
look-over;n00143626
ophthalmoscopy;n00143763
palpation;n00143885
tactual exploration;n00143885
ballottement;n00144182
tickle;n00144445
tickling;n00144445
titillation;n00144445
stroke;n00144632
stroking;n00144632
caress;n00144778
tag;n00145024
joining;n00145218
connection;n00145218
connexion;n00145218
hit;n00145779
interconnection;n00145929
intersection;n00146111
approximation;n00146277
bringing close together;n00146277
concatenation;n00146443
convergence;n00146572
converging;n00146572
convergency;n00146572
merging;n00146856
meeting;n00146856
coming together;n00146856
concourse;n00147091
confluence;n00147091
encounter;n00147187
coming upon;n00147187
articulation;n00147314
junction;n00147454
adjunction;n00147454
fastening;n00147595
attachment;n00147595
loosening;n00147862
laxation;n00147862
tightening;n00148057
ligation;n00148242
tubal ligation;n00148446
bonding;n00148653
soldering;n00148653
doweling;n00148762
grounding;n00148836
earthing;n00148836
linkage;n00148978
tying;n00149084
ligature;n00149084
untying;n00149262
undoing;n00149262
unfastening;n00149262
welding;n00149508
butt welding;n00149699
butt-welding;n00149699
spot welding;n00149895
spot-welding;n00149895
flare;n00150097
texas leaguer;n00150228
flash welding;n00150379
flash butt welding;n00150379
lick;n00150591
lap;n00150591
grazing;n00150762
shaving;n00150762
skimming;n00150762
tracing;n00150932
detection;n00151087
catching;n00151087
espial;n00151087
spying;n00151087
spotting;n00151087
self-discovery;n00151314
breakthrough;n00151409
determination;n00151497
finding;n00151497
rediscovery;n00151914
designation;n00152018
identification;n00152018
bertillon system;n00152230
fingerprinting;n00152338
genetic profiling;n00152519
genetic fingerprinting;n00152519
diagnosis;n00152727
diagnosing;n00152727
blood typing;n00152990
medical diagnosis;n00153105
prenatal diagnosis;n00153288
differential diagnosis;n00153499
prognosis;n00153665
prospect;n00153665
medical prognosis;n00153665
resolution;n00153809
solving;n00153809
validation;n00153961
proof;n00153961
substantiation;n00153961
authentication;n00154233
certification;n00154233
documentation;n00154433
support;n00154433
monetization;n00154689
monetisation;n00154689
probate;n00154894
demonetization;n00155085
demonetisation;n00155085
falsification;n00155298
falsifying;n00155298
disproof;n00155298
refutation;n00155298
refutal;n00155298
localization;n00155487
localisation;n00155487
location;n00155487
locating;n00155487
fix;n00155487
echolocation;n00155797
echo sounding;n00155797
predetermination;n00155970
rectification;n00156119
redetermination;n00156293
trigger;n00156390
induction;n00156390
initiation;n00156390
fomentation;n00156625
instigation;n00156625
compulsion;n00156812
coercion;n00156812
influence;n00157081
cross-pollination;n00157318
exposure;n00157463
overexposure;n00157687
underexposure;n00157877
impingement;n00157957
encroachment;n00157957
impact;n00157957
manipulation;n00158185
use;n00158185
mind game;n00158443
autosuggestion;n00158805
auto-suggestion;n00158805
self-suggestion;n00158805
hypnotism;n00158996
mesmerism;n00158996
suggestion;n00158996
inducement;n00159177
inducing;n00159177
corruption;n00159396
enticement;n00159620
temptation;n00159620
blandishment;n00159899
wheedling;n00159899
ingratiation;n00160073
insinuation;n00160073
leading astray;n00160297
leading off;n00160297
seduction;n00160415
seduction;n00160532
conquest;n00160532
sexual conquest;n00160688
score;n00160688
cuckoldry;n00160922
solicitation;n00161044
allurement;n00161044
choice;n00161243
selection;n00161243
option;n00161243
pick;n00161243
casting;n00161603
coloration;n00161739
colouration;n00161739
sampling;n00161888
random sampling;n00162055
lucky dip;n00162236
stratified sampling;n00162417
representative sampling;n00162417
proportional sampling;n00162417
decision;n00162632
determination;n00162632
conclusion;n00162632
volition;n00163047
willing;n00163047
intention;n00163233
about-face;n00163406
volte-face;n00163406
reversal;n00163406
policy change;n00163406
adulteration;n00163630
appointment;n00163779
assignment;n00163779
designation;n00163779
naming;n00163779
nomination;n00164152
assignment;n00164345
assigning;n00164345
allocation;n00164579
storage allocation;n00164579
call;n00164801
co-option;n00164999
co-optation;n00164999
delegacy;n00165178
ordination;n00165298
ordinance;n00165298
recognition;n00165563
laying on of hands;n00165793
move;n00165942
move;n00166172
chess move;n00166355
castle;n00166552
castling;n00166552
capture;n00166702
en passant;n00166865
exchange;n00167063
exchange;n00167278
check;n00167446
discovered check;n00167580
checkmate;n00167764
mate;n00167764
gambit;n00167950
demarche;n00168121
maneuver;n00168237
manoeuvre;n00168237
tactical maneuver;n00168237
tactical manoeuvre;n00168237
parking;n00168505
move;n00168658
relocation;n00168658
flit;n00168911
downshift;n00169047
downshift;n00169147
bank;n00169305
vertical bank;n00169522
chandelle;n00169651
loop;n00169811
loop-the-loop;n00169811
inside loop;n00170005
outside loop;n00170172
roll;n00170340
barrel roll;n00170536
snap roll;n00170643
slip;n00170710
sideslip;n00170710
flight maneuver;n00170844
airplane maneuver;n00170844
straight-arm;n00171050
device;n00171249
gimmick;n00171249
twist;n00171249
mnemonic;n00171507
trick;n00171618
fast one;n00171618
shtik;n00171882
schtik;n00171882
shtick;n00171882
schtick;n00171882
feint;n00172073
juke;n00172217
fake;n00172217
footwork;n00172347
ploy;n00172490
gambit;n00172490
stratagem;n00172490
ruse;n00172598
artifice;n00172598
means;n00172710
agency;n00172710
way;n00172710
dint;n00173172
escape;n00173283
fast track;n00173487
instrument;n00173761
tool;n00173761
road;n00174003
royal road;n00174127
stepping stone;n00174260
measure;n00174412
step;n00174412
countermeasure;n00174663
bear hug;n00174782
proxy fight;n00174950
leveraged buyout;n00175174
bust-up takeover;n00175433
shark repellent;n00175605
porcupine provision;n00175605
golden parachute;n00175875
greenmail;n00176052
pac-man strategy;n00176312
poison pill;n00176449
suicide pill;n00176609
safe harbor;n00176766
scorched-earth policy;n00176994
diagnostic procedure;n00177127
diagnostic technique;n00177127
expedient;n00177448
backstop;n00177638
emergency procedure;n00177783
experimental procedure;n00178024
double-blind procedure;n00178177
double-blind experiment;n00178177
double-blind study;n00178177
makeshift;n00178551
stopgap;n00178551
make-do;n00178551
crutch;n00178700
improvisation;n00178832
temporary expedient;n00178832
pis aller;n00178972
last resort;n00178972
desperate measure;n00179125
open sesame;n00179275
salvation;n00179380
tooth;n00179576
voice;n00179683
wings;n00179916
casting lots;n00180054
drawing lots;n00180054
sortition;n00180054
resolution;n00180228
adoption;n00180413
acceptance;n00180413
acceptation;n00180413
espousal;n00180413
embrace;n00180770
bosom;n00180770
election;n00180962
co-option;n00181191
co-optation;n00181191
reelection;n00181373
plebiscite;n00181495
referendum;n00181640
election;n00181781
vote;n00182213
general election;n00182435
primary;n00182571
primary election;n00182571
direct primary;n00182723
closed primary;n00182897
open primary;n00183084
by-election;n00183240
bye-election;n00183240
runoff;n00183357
vote;n00183505
ballot;n00183505
voting;n00183505
balloting;n00183505
block vote;n00183995
cumulative vote;n00184135
secret ballot;n00184362
split ticket;n00184501
straight ticket;n00184652
multiple voting;n00184802
casting vote;n00184981
reconciliation;n00185104
balancing;n00185104
equation;n00185307
equating;n00185307
breech delivery;n00185438
breech birth;n00185438
breech presentation;n00185438
frank breech;n00185612
frank breech delivery;n00185612
cesarean delivery;n00185778
caesarean delivery;n00185778
caesarian delivery;n00185778
cesarean section;n00185778
cesarian section;n00185778
caesarean section;n00185778
caesarian section;n00185778
c-section;n00185778
cesarean;n00185778
cesarian;n00185778
caesarean;n00185778
caesarian;n00185778
abdominal delivery;n00185778
forceps delivery;n00186251
midwifery;n00186549
score;n00186634
bowling score;n00187056
bull's eye;n00187144
goal;n00187337
own goal;n00187499
